Coordinates3,Count
"(16.596, -41.846)",1
"(16.621, -41.826)",1
"(16.653, -41.871)",1
"(33.47, -84.235)",1
"(33.638, -84.448)",1
"(33.64, -84.44)",1
"(33.64, -84.444)",1
"(33.641, -84.417)",1
"(33.641, -84.444)",1
"(33.641, -84.446)",1
"(33.642, -84.448)",1
"(33.648, -84.354)",3
"(33.648, -84.357)",3
"(33.648, -84.358)",9
"(33.648, -84.359)",3
"(33.648, -84.361)",1
"(33.648, -84.364)",7
"(33.648, -84.365)",2
"(33.648, -84.366)",5
"(33.649, -84.356)",10
"(33.649, -84.357)",9
"(33.649, -84.358)",18
"(33.649, -84.359)",20
"(33.649, -84.36)",6
"(33.649, -84.361)",4
"(33.649, -84.362)",4
"(33.649, -84.363)",40
"(33.649, -84.364)",1
"(33.649, -84.366)",179
"(33.649, -84.368)",1
"(33.649, -84.378)",19
"(33.649, -84.38)",12
"(33.649, -84.381)",1
"(33.649, -84.391)",9
"(33.649, -84.392)",1
"(33.649, -84.393)",2
"(33.649, -84.394)",2
"(33.649, -84.395)",1
"(33.65, -84.355)",7
"(33.65, -84.356)",8
"(33.65, -84.357)",2
"(33.65, -84.358)",14
"(33.65, -84.359)",2
"(33.65, -84.36)",1
"(33.65, -84.361)",114
"(33.65, -84.366)",21
"(33.65, -84.367)",76
"(33.65, -84.374)",4
"(33.65, -84.388)",15
"(33.65, -84.394)",2
"(33.651, -84.356)",3
"(33.651, -84.357)",2
"(33.651, -84.358)",9
"(33.651, -84.364)",75
"(33.651, -84.367)",2
"(33.651, -84.376)",3
"(33.651, -84.377)",10
"(33.651, -84.383)",10
"(33.652, -84.356)",2
"(33.652, -84.357)",10
"(33.652, -84.358)",1
"(33.652, -84.36)",4
"(33.652, -84.367)",60
"(33.652, -84.376)",1
"(33.652, -84.378)",12
"(33.652, -84.381)",1
"(33.652, -84.388)",1
"(33.652, -84.389)",3
"(33.652, -84.395)",1
"(33.652, -84.396)",18
"(33.652, -84.399)",2
"(33.653, -84.357)",1
"(33.653, -84.359)",5
"(33.653, -84.36)",13
"(33.653, -84.367)",1
"(33.653, -84.368)",21
"(33.653, -84.371)",5
"(33.653, -84.383)",10
"(33.653, -84.386)",2
"(33.653, -84.387)",1
"(33.653, -84.388)",24
"(33.653, -84.389)",2
"(33.653, -84.393)",1
"(33.653, -84.394)",21
"(33.653, -84.396)",1
"(33.653, -84.397)",3
"(33.653, -84.398)",2
"(33.654, -84.356)",5
"(33.654, -84.357)",4
"(33.654, -84.36)",4
"(33.654, -84.367)",1
"(33.654, -84.368)",16
"(33.654, -84.374)",4
"(33.654, -84.381)",3
"(33.654, -84.389)",6
"(33.654, -84.39)",6
"(33.654, -84.393)",20
"(33.654, -84.507)",37
"(33.654, -84.508)",22
"(33.655, -84.352)",2
"(33.655, -84.353)",7
"(33.655, -84.354)",6
"(33.655, -84.355)",14
"(33.655, -84.356)",29
"(33.655, -84.357)",4
"(33.655, -84.368)",1
"(33.655, -84.369)",6
"(33.655, -84.374)",41
"(33.655, -84.376)",13
"(33.655, -84.38)",1
"(33.655, -84.381)",1
"(33.655, -84.383)",1
"(33.655, -84.388)",8
"(33.655, -84.39)",1
"(33.655, -84.392)",12
"(33.655, -84.393)",3
"(33.655, -84.508)",114
"(33.655, -84.509)",147
"(33.655, -84.51)",185
"(33.655, -84.511)",8
"(33.655, -84.512)",12
"(33.655, -84.513)",4
"(33.656, -84.351)",1
"(33.656, -84.352)",9
"(33.656, -84.353)",8
"(33.656, -84.354)",7
"(33.656, -84.355)",5
"(33.656, -84.356)",3
"(33.656, -84.357)",4
"(33.656, -84.358)",2
"(33.656, -84.366)",66
"(33.656, -84.374)",1
"(33.656, -84.375)",3
"(33.656, -84.379)",6
"(33.656, -84.38)",4
"(33.656, -84.388)",9
"(33.656, -84.39)",5
"(33.656, -84.391)",4
"(33.656, -84.507)",9
"(33.656, -84.509)",245
"(33.656, -84.51)",21
"(33.656, -84.511)",282
"(33.656, -84.512)",1
"(33.656, -84.513)",131
"(33.656, -84.514)",3
"(33.656, -84.516)",1
"(33.656, -84.522)",1
"(33.657, -84.351)",18
"(33.657, -84.352)",2
"(33.657, -84.354)",4
"(33.657, -84.355)",4
"(33.657, -84.356)",8
"(33.657, -84.357)",4
"(33.657, -84.358)",10
"(33.657, -84.359)",8
"(33.657, -84.37)",5
"(33.657, -84.373)",7
"(33.657, -84.374)",5
"(33.657, -84.384)",4
"(33.657, -84.385)",5
"(33.657, -84.386)",8
"(33.657, -84.387)",13
"(33.657, -84.389)",2
"(33.657, -84.391)",18
"(33.657, -84.393)",8
"(33.657, -84.507)",35
"(33.657, -84.508)",23
"(33.657, -84.509)",22
"(33.657, -84.51)",209
"(33.657, -84.511)",10
"(33.657, -84.512)",1
"(33.657, -84.513)",123
"(33.657, -84.522)",2
"(33.658, -84.35)",2
"(33.658, -84.351)",5
"(33.658, -84.352)",1
"(33.658, -84.354)",8
"(33.658, -84.355)",9
"(33.658, -84.356)",8
"(33.658, -84.357)",4
"(33.658, -84.358)",4
"(33.658, -84.359)",1
"(33.658, -84.37)",9
"(33.658, -84.373)",6
"(33.658, -84.378)",4
"(33.658, -84.379)",9
"(33.658, -84.38)",10
"(33.658, -84.382)",5
"(33.658, -84.385)",4
"(33.658, -84.386)",2
"(33.658, -84.387)",6
"(33.658, -84.388)",1
"(33.658, -84.391)",16
"(33.658, -84.392)",1
"(33.658, -84.506)",1
"(33.658, -84.507)",10
"(33.658, -84.508)",11
"(33.658, -84.509)",273
"(33.658, -84.51)",18
"(33.658, -84.511)",235
"(33.658, -84.512)",18
"(33.658, -84.518)",2
"(33.658, -84.522)",3
"(33.659, -84.35)",5
"(33.659, -84.351)",12
"(33.659, -84.352)",21
"(33.659, -84.353)",4
"(33.659, -84.354)",6
"(33.659, -84.355)",4
"(33.659, -84.356)",7
"(33.659, -84.357)",9
"(33.659, -84.358)",8
"(33.659, -84.359)",3
"(33.659, -84.371)",11
"(33.659, -84.374)",7
"(33.659, -84.376)",2
"(33.659, -84.377)",4
"(33.659, -84.378)",2
"(33.659, -84.379)",7
"(33.659, -84.38)",13
"(33.659, -84.383)",9
"(33.659, -84.384)",5
"(33.659, -84.385)",1
"(33.659, -84.386)",5
"(33.659, -84.387)",1
"(33.659, -84.388)",2
"(33.659, -84.39)",6
"(33.659, -84.391)",3
"(33.659, -84.507)",9
"(33.659, -84.508)",14
"(33.659, -84.509)",1
"(33.659, -84.516)",7
"(33.659, -84.517)",11
"(33.659, -84.522)",2
"(33.659, -84.525)",1
"(33.66, -84.351)",3
"(33.66, -84.352)",3
"(33.66, -84.353)",1
"(33.66, -84.355)",5
"(33.66, -84.356)",7
"(33.66, -84.357)",8
"(33.66, -84.358)",9
"(33.66, -84.371)",13
"(33.66, -84.372)",2
"(33.66, -84.376)",2
"(33.66, -84.377)",2
"(33.66, -84.378)",2
"(33.66, -84.379)",1
"(33.66, -84.38)",4
"(33.66, -84.382)",3
"(33.66, -84.384)",7
"(33.66, -84.386)",2
"(33.66, -84.387)",4
"(33.66, -84.388)",3
"(33.66, -84.389)",1
"(33.66, -84.391)",6
"(33.66, -84.392)",14
"(33.66, -84.394)",4
"(33.66, -84.507)",3
"(33.66, -84.508)",5
"(33.66, -84.509)",4
"(33.66, -84.51)",140
"(33.66, -84.511)",2
"(33.66, -84.516)",10
"(33.66, -84.517)",12
"(33.66, -84.522)",2
"(33.66, -84.523)",2
"(33.66, -84.524)",7
"(33.66, -84.525)",3
"(33.66, -84.526)",1
"(33.66, -84.527)",2
"(33.66, -84.528)",1
"(33.66, -84.529)",1
"(33.661, -84.355)",87
"(33.661, -84.356)",2
"(33.661, -84.373)",1
"(33.661, -84.377)",1
"(33.661, -84.378)",15
"(33.661, -84.379)",18
"(33.661, -84.38)",12
"(33.661, -84.381)",2
"(33.661, -84.382)",1
"(33.661, -84.384)",4
"(33.661, -84.385)",7
"(33.661, -84.387)",1
"(33.661, -84.388)",9
"(33.661, -84.391)",2
"(33.661, -84.392)",7
"(33.661, -84.512)",11
"(33.661, -84.513)",14
"(33.661, -84.514)",7
"(33.661, -84.515)",8
"(33.661, -84.516)",11
"(33.661, -84.517)",4
"(33.661, -84.522)",13
"(33.661, -84.523)",3
"(33.661, -84.525)",4
"(33.661, -84.526)",3
"(33.661, -84.527)",1
"(33.661, -84.528)",3
"(33.661, -84.529)",3
"(33.662, -84.366)",2
"(33.662, -84.37)",9
"(33.662, -84.373)",1
"(33.662, -84.374)",5
"(33.662, -84.378)",9
"(33.662, -84.379)",7
"(33.662, -84.38)",9
"(33.662, -84.381)",3
"(33.662, -84.383)",3
"(33.662, -84.384)",3
"(33.662, -84.385)",1
"(33.662, -84.386)",2
"(33.662, -84.387)",5
"(33.662, -84.392)",14
"(33.662, -84.393)",2
"(33.662, -84.509)",3
"(33.662, -84.511)",3
"(33.662, -84.512)",9
"(33.662, -84.513)",3
"(33.662, -84.514)",6
"(33.662, -84.515)",18
"(33.662, -84.516)",10
"(33.662, -84.517)",18
"(33.662, -84.519)",27
"(33.662, -84.52)",1
"(33.662, -84.522)",2
"(33.662, -84.524)",5
"(33.662, -84.525)",6
"(33.662, -84.526)",4
"(33.662, -84.527)",4
"(33.663, -84.374)",4
"(33.663, -84.376)",26
"(33.663, -84.378)",18
"(33.663, -84.379)",13
"(33.663, -84.38)",6
"(33.663, -84.381)",2
"(33.663, -84.382)",4
"(33.663, -84.384)",1
"(33.663, -84.385)",7
"(33.663, -84.386)",1
"(33.663, -84.387)",6
"(33.663, -84.392)",3
"(33.663, -84.393)",7
"(33.663, -84.511)",2
"(33.663, -84.512)",5
"(33.663, -84.513)",7
"(33.663, -84.514)",7
"(33.663, -84.515)",8
"(33.663, -84.516)",5
"(33.663, -84.517)",8
"(33.663, -84.518)",2
"(33.663, -84.519)",4
"(33.663, -84.521)",2
"(33.663, -84.522)",7
"(33.663, -84.523)",13
"(33.663, -84.524)",28
"(33.663, -84.525)",7
"(33.663, -84.526)",4
"(33.663, -84.527)",2
"(33.663, -84.528)",19
"(33.664, -84.374)",9
"(33.664, -84.375)",10
"(33.664, -84.376)",4
"(33.664, -84.377)",17
"(33.664, -84.378)",15
"(33.664, -84.379)",17
"(33.664, -84.38)",16
"(33.664, -84.381)",3
"(33.664, -84.382)",2
"(33.664, -84.392)",20
"(33.664, -84.394)",6
"(33.664, -84.509)",2
"(33.664, -84.51)",1
