,Coordinates1,Coordinates3,Lunar_Day,Crime_Count
0,3,22,1.0,1
1,3,26,1.0,1
2,3,30,1.0,1
3,3,42,1.0,1
4,5,99,1.0,1
5,5,128,1.0,1
6,5,149,1.0,1
7,5,152,1.0,1
8,5,153,1.0,1
9,5,154,1.0,1
10,5,243,1.0,1
11,5,281,1.0,1
12,5,308,1.0,1
13,5,309,1.0,1
14,5,313,1.0,1
15,5,335,1.0,1
16,5,338,1.0,1
17,5,346,1.0,1
18,5,365,1.0,1
19,5,372,1.0,1
20,5,374,1.0,1
21,5,391,1.0,1
22,5,393,1.0,1
23,5,415,1.0,1
24,5,422,1.0,1
25,5,457,1.0,1
26,5,459,1.0,1
27,5,495,1.0,1
28,5,498,1.0,1
29,5,502,1.0,1
30,5,536,1.0,1
31,5,537,1.0,1
32,5,570,1.0,1
33,5,574,1.0,1
34,5,578,1.0,1
35,5,581,1.0,1
36,5,607,1.0,1
37,5,611,1.0,1
38,5,612,1.0,1
39,5,615,1.0,1
40,5,655,1.0,1
41,5,656,1.0,1
42,5,660,1.0,1
43,5,707,1.0,1
44,5,751,1.0,1
45,5,759,1.0,1
46,5,762,1.0,1
47,5,821,1.0,1
48,5,877,1.0,1
49,5,879,1.0,1
50,5,940,1.0,1
51,5,943,1.0,1
52,5,945,1.0,1
53,5,946,1.0,1
54,5,947,1.0,1
55,5,1002,1.0,1
56,5,1004,1.0,1
57,5,1006,1.0,1
58,5,1014,1.0,1
59,5,1049,1.0,1
60,5,1051,1.0,1
61,5,1052,1.0,1
62,5,1064,1.0,1
63,5,1102,1.0,1
64,5,1117,1.0,1
65,5,1120,1.0,1
66,5,1228,1.0,1
67,5,1240,1.0,1
68,5,1291,1.0,1
69,5,1294,1.0,1
70,5,1296,1.0,1
71,5,1301,1.0,1
72,5,1349,1.0,1
73,5,1350,1.0,1
74,5,1351,1.0,1
75,5,1359,1.0,1
76,5,1360,1.0,1
77,5,1409,1.0,1
78,5,1411,1.0,1
79,5,1412,1.0,1
80,5,1468,1.0,1
81,5,1473,1.0,1
82,5,1478,1.0,1
83,5,1479,1.0,1
84,5,1521,1.0,1
85,5,1522,1.0,1
86,5,1535,1.0,1
87,5,1587,1.0,1
88,5,1589,1.0,1
89,5,1591,1.0,1
90,5,1598,1.0,1
91,5,1602,1.0,1
92,5,1606,1.0,1
93,5,1663,1.0,1
94,5,1671,1.0,1
95,5,1683,1.0,1
96,5,1745,1.0,1
97,5,1750,1.0,1
98,5,1753,1.0,1
99,5,1759,1.0,1
100,5,1765,1.0,1
101,5,1769,1.0,1
102,5,1770,1.0,1
103,5,1827,1.0,1
104,5,1833,1.0,1
105,5,1839,1.0,1
106,5,1851,1.0,1
107,5,1859,1.0,1
108,5,1861,1.0,1
109,5,1864,1.0,1
110,5,1913,1.0,1
111,5,1919,1.0,1
112,5,1926,1.0,1
113,5,1936,1.0,1
114,5,1995,1.0,1
115,5,2021,1.0,1
116,5,2028,1.0,1
117,5,2076,1.0,1
118,5,2092,1.0,1
119,5,2093,1.0,1
120,5,2098,1.0,1
121,5,2160,1.0,1
122,5,2162,1.0,1
123,5,2166,1.0,1
124,5,2169,1.0,1
125,5,2172,1.0,1
126,5,2174,1.0,1
127,5,2186,1.0,1
128,5,2191,1.0,1
129,5,2199,1.0,1
130,5,2251,1.0,1
131,5,2263,1.0,1
132,5,2264,1.0,1
133,5,2268,1.0,1
134,5,2270,1.0,1
135,5,2280,1.0,1
136,5,2283,1.0,1
137,5,2287,1.0,1
138,5,2349,1.0,1
139,5,2350,1.0,1
140,5,2362,1.0,1
141,5,2447,1.0,1
142,5,2455,1.0,1
143,5,2457,1.0,1
144,5,2469,1.0,1
145,5,2470,1.0,1
146,5,2537,1.0,1
147,5,2549,1.0,1
148,5,2550,1.0,1
149,5,2551,1.0,1
150,5,2555,1.0,1
151,5,2559,1.0,1
152,5,2574,1.0,1
153,5,2579,1.0,1
154,5,2634,1.0,1
155,5,2635,1.0,1
156,5,2649,1.0,1
157,5,2651,1.0,1
158,5,2652,1.0,1
159,5,2671,1.0,1
160,5,2678,1.0,1
161,5,2679,1.0,1
162,5,2684,1.0,1
163,5,2690,1.0,1
164,5,2692,1.0,1
165,5,2748,1.0,1
166,5,2749,1.0,1
167,5,2761,1.0,1
168,5,2776,1.0,1
169,5,2777,1.0,1
170,5,2779,1.0,1
171,5,2781,1.0,1
172,5,2782,1.0,1
173,5,2790,1.0,1
174,5,2791,1.0,1
175,5,2796,1.0,1
176,5,2797,1.0,1
177,5,2798,1.0,1
178,5,2800,1.0,1
179,5,2802,1.0,1
180,5,2863,1.0,1
181,5,2866,1.0,1
182,5,2881,1.0,1
183,5,2882,1.0,1
184,5,2883,1.0,1
185,5,2888,1.0,1
186,5,2891,1.0,1
187,5,2899,1.0,1
188,5,2914,1.0,1
189,5,2915,1.0,1
190,5,2917,1.0,1
191,5,2966,1.0,1
192,5,2996,1.0,1
193,5,2999,1.0,1
194,5,3004,1.0,1
195,5,3013,1.0,1
196,5,3024,1.0,1
197,5,3027,1.0,1
198,5,3077,1.0,1
199,5,3079,1.0,1
200,5,3095,1.0,1
201,5,3105,1.0,1
202,5,3111,1.0,1
203,5,3117,1.0,1
204,5,3118,1.0,1
205,5,3125,1.0,1
206,5,3134,1.0,1
207,5,3193,1.0,1
208,5,3197,1.0,1
209,5,3210,1.0,1
210,5,3219,1.0,1
211,5,3221,1.0,1
212,5,3224,1.0,1
213,5,3225,1.0,1
214,5,3229,1.0,1
215,5,3231,1.0,1
216,5,3243,1.0,1
217,5,3244,1.0,1
218,5,3246,1.0,1
219,5,3247,1.0,1
220,5,3252,1.0,1
221,5,3308,1.0,1
222,5,3312,1.0,1
223,5,3328,1.0,1
224,5,3357,1.0,1
225,5,3360,1.0,1
226,5,3422,1.0,1
227,5,3430,1.0,1
228,5,3439,1.0,1
229,5,3440,1.0,1
230,5,3445,1.0,1
231,5,3449,1.0,1
232,5,3452,1.0,1
233,5,3539,1.0,1
234,5,3545,1.0,1
235,5,3547,1.0,1
236,5,3561,1.0,1
237,5,3565,1.0,1
238,5,3643,1.0,1
239,5,3645,1.0,1
240,5,3655,1.0,1
241,5,3670,1.0,1
242,5,3671,1.0,1
243,5,3765,1.0,1
244,5,3824,1.0,1
245,5,3833,1.0,1
246,5,3834,1.0,1
247,5,3845,1.0,1
248,5,3925,1.0,1
249,5,3931,1.0,1
250,5,3932,1.0,1
251,5,3933,1.0,1
252,5,4007,1.0,1
253,5,4023,1.0,1
254,5,4029,1.0,1
255,5,4033,1.0,1
256,5,4098,1.0,1
257,5,4110,1.0,1
258,5,4112,1.0,1
259,5,4116,1.0,1
260,5,4117,1.0,1
261,5,4213,1.0,1
262,5,4219,1.0,1
263,5,4224,1.0,1
264,5,4229,1.0,1
265,5,4319,1.0,1
266,5,4339,1.0,1
267,5,4431,1.0,1
268,5,4441,1.0,1
269,5,4563,1.0,1
270,5,4565,1.0,1
271,5,4585,1.0,1
272,5,4676,1.0,1
273,5,4685,1.0,1
274,5,4705,1.0,1
275,5,4709,1.0,1
276,5,4812,1.0,1
277,5,4825,1.0,1
278,5,4828,1.0,1
279,5,4927,1.0,1
280,5,4940,1.0,1
281,5,4941,1.0,1
282,5,4945,1.0,1
283,5,4946,1.0,1
284,5,4951,1.0,1
285,5,4952,1.0,1
286,5,5032,1.0,1
287,5,5034,1.0,1
288,5,5061,1.0,1
289,5,5065,1.0,1
290,5,5069,1.0,1
291,5,5293,1.0,1
292,5,5317,1.0,1
293,5,5318,1.0,1
294,5,5319,1.0,1
295,5,5320,1.0,1
296,5,5403,1.0,1
297,5,5408,1.0,1
298,5,5410,1.0,1
299,5,5436,1.0,1
300,5,5441,1.0,1
301,5,5446,1.0,1
302,5,5447,1.0,1
303,5,5450,1.0,1
304,5,5549,1.0,1
305,5,5561,1.0,1
306,5,5568,1.0,1
307,5,5587,1.0,1
308,5,5590,1.0,1
309,5,5694,1.0,1
310,5,5697,1.0,1
311,5,5698,1.0,1
312,5,5701,1.0,1
313,5,5703,1.0,1
314,5,5707,1.0,1
315,5,5717,1.0,1
316,5,5730,1.0,1
317,5,5731,1.0,1
318,5,5834,1.0,1
319,5,5845,1.0,1
320,5,5849,1.0,1
321,5,5863,1.0,1
322,5,5873,1.0,1
323,5,5975,1.0,1
324,5,5989,1.0,1
325,5,5993,1.0,1
326,5,6013,1.0,1
327,5,6122,1.0,1
328,5,6131,1.0,1
329,5,6252,1.0,1
330,5,6259,1.0,1
331,5,6274,1.0,1
332,5,6389,1.0,1
333,5,6398,1.0,1
334,5,6417,1.0,1
335,5,6422,1.0,1
336,5,6425,1.0,1
337,5,6540,1.0,1
338,5,6541,1.0,1
339,5,6550,1.0,1
340,5,6556,1.0,1
341,5,6563,1.0,1
342,5,6564,1.0,1
343,5,6695,1.0,1
344,5,6703,1.0,1
345,5,6707,1.0,1
346,5,6710,1.0,1
347,5,6711,1.0,1
348,5,6715,1.0,1
349,5,6718,1.0,1
350,5,6722,1.0,1
351,5,6837,1.0,1
352,5,6839,1.0,1
353,5,6847,1.0,1
354,5,6848,1.0,1
355,5,6972,1.0,1
356,5,6977,1.0,1
357,5,6992,1.0,1
358,5,7000,1.0,1
359,5,7112,1.0,1
360,5,7120,1.0,1
361,5,7126,1.0,1
362,5,7131,1.0,1
363,5,7250,1.0,1
364,5,7251,1.0,1
365,5,7262,1.0,1
366,5,7268,1.0,1
367,5,7379,1.0,1
368,5,7387,1.0,1
369,5,7524,1.0,1
370,5,7533,1.0,1
371,5,7662,1.0,1
372,5,7664,1.0,1
373,5,7675,1.0,1
374,5,7679,1.0,1
375,5,7814,1.0,1
376,5,7816,1.0,1
377,5,7819,1.0,1
378,5,7830,1.0,1
379,5,7831,1.0,1
380,5,7832,1.0,1
381,5,7963,1.0,1
382,5,7970,1.0,1
383,5,7973,1.0,1
384,5,7975,1.0,1
385,5,7982,1.0,1
386,5,7989,1.0,1
